Address:,TCPIP0::192.168.1.2::inst0::INSTR,,Analog Channels,,
Model:,MSO-X 4154A,,Time (s),1 (VOLT),
,,,-9.118125E-08,-0.000133891197037883,
,,,-9.058125E-08,-0.000267782394075766,
,,,-8.998125E-08,-0.000133891197037883,
,,,-8.938125E-08,-0.000133891197037883,
,,,-8.878125E-08,0,
,,,-8.818125E-08,-0.000133891197037883,
,,,-8.758125E-08,-0.000133891197037883,
,,,-8.698125E-08,0,
,,,-8.638125E-08,-0.000133891197037883,
,,,-8.578125E-08,0,
,,,-8.518125E-08,-0.000133891197037883,
,,,-8.458125E-08,-0.000133891197037883,
,,,-8.398125E-08,-0.000267782394075766,
,,,-8.338125E-08,-0.000267782394075766,
,,,-8.278125E-08,-0.000133891197037883,
,,,-8.218125E-08,-0.000267782394075766,
,,,-8.158125E-08,-0.000133891197037883,
,,,-8.098125E-08,-0.000267782394075766,
,,,-8.038125E-08,-0.000267782394075766,
,,,-7.978125E-08,-0.000267782394075766,
,,,-7.918125E-08,-0.000401673591113649,
,,,-7.858125E-08,-0.000267782394075766,
,,,-7.798125E-08,-0.000133891197037883,
,,,-7.738125E-08,-0.000267782394075766,
,,,-7.678125E-08,-0.000267782394075766,
,,,-7.618125E-08,-0.000267782394075766,
,,,-7.558125E-08,-0.000133891197037883,
,,,-7.498125E-08,-0.000267782394075766,
,,,-7.438125E-08,-0.000133891197037883,
,,,-7.378125E-08,-0.000267782394075766,
,,,-7.318125E-08,-0.000133891197037883,
,,,-7.258125E-08,-0.000267782394075766,
,,,-7.198125E-08,-0.000267782394075766,
,,,-7.138125E-08,-0.000267782394075766,
,,,-7.078125E-08,-0.000267782394075766,
,,,-7.018125E-08,-0.000267782394075766,
,,,-6.958125E-08,-0.000267782394075766,
,,,-6.898125E-08,-0.000267782394075766,
,,,-6.838125E-08,-0.000401673591113649,
,,,-6.778125E-08,0,
,,,-6.718125E-08,-0.000401673591113649,
,,,-6.658125E-08,-0.000133891197037883,
,,,-6.598125E-08,-0.000267782394075766,
,,,-6.538125E-08,0,
,,,-6.478125E-08,-0.000401673591113649,
,,,-6.418125E-08,-0.000401673591113649,
,,,-6.358125E-08,-0.000267782394075766,
,,,-6.298125E-08,-0.000267782394075766,
,,,-6.238125E-08,-0.000267782394075766,
,,,-6.178125E-08,0,
,,,-6.118125E-08,-0.000133891197037883,
,,,-6.058125E-08,-0.000133891197037883,
,,,-5.998125E-08,-0.000401673591113649,
,,,-5.938125E-08,-0.000267782394075766,
,,,-5.878125E-08,-0.000267782394075766,
,,,-5.818125E-08,-0.000401673591113649,
,,,-5.758125E-08,-0.000267782394075766,
,,,-5.698125E-08,-0.000267782394075766,
,,,-5.638125E-08,-0.000267782394075766,
,,,-5.578125E-08,-0.000401673591113649,
,,,-5.518125E-08,-0.000267782394075766,
,,,-5.458125E-08,-0.000267782394075766,
,,,-5.398125E-08,0,
,,,-5.338125E-08,-0.000133891197037883,
,,,-5.278125E-08,-0.000267782394075766,
,,,-5.218125E-08,-0.000267782394075766,
,,,-5.158125E-08,-0.000133891197037883,
,,,-5.098125E-08,-0.000267782394075766,
,,,-5.038125E-08,-0.000133891197037883,
,,,-4.978125E-08,-0.000133891197037883,
,,,-4.918125E-08,-0.000267782394075766,
,,,-4.858125E-08,-0.000133891197037883,
,,,-4.798125E-08,-0.000267782394075766,
,,,-4.738125E-08,-0.000267782394075766,
,,,-4.678125E-08,0,
,,,-4.618125E-08,-0.000133891197037883,
,,,-4.558125E-08,-0.000133891197037883,
,,,-4.498125E-08,-0.000267782394075766,
,,,-4.438125E-08,-0.000133891197037883,
,,,-4.378125E-08,-0.000133891197037883,
,,,-4.318125E-08,-0.000133891197037883,
,,,-4.258125E-08,0,
,,,-4.198125E-08,0,
,,,-4.138125E-08,-0.000133891197037883,
,,,-4.078125E-08,-0.000133891197037883,
,,,-4.018125E-08,0,
,,,-3.958125E-08,0,
,,,-3.898125E-08,0,
,,,-3.838125E-08,0.000133891197037883,
,,,-3.778125E-08,0,
,,,-3.718125E-08,0.000133891197037883,
,,,-3.658125E-08,0.000267782394075766,
,,,-3.598125E-08,0.000267782394075766,
,,,-3.538125E-08,0,
,,,-3.478125E-08,0.000401673591113649,
,,,-3.418125E-08,0.000133891197037883,
,,,-3.358125E-08,0.000267782394075766,
,,,-3.298125E-08,0.000267782394075766,
,,,-3.238125E-08,0.000267782394075766,
,,,-3.178125E-08,0.000267782394075766,
,,,-3.118125E-08,0.000669455985189416,
,,,-3.058125E-08,0.000267782394075766,
,,,-2.998125E-08,0.000401673591113649,
,,,-2.938125E-08,0.000401673591113649,
,,,-2.878125E-08,0.000267782394075766,
,,,-2.818125E-08,0.000401673591113649,
,,,-2.758125E-08,0.000401673591113649,
,,,-2.698125E-08,0.000401673591113649,
,,,-2.638125E-08,0.000401673591113649,
,,,-2.578125E-08,0.000267782394075766,
,,,-2.518125E-08,0.000401673591113649,
,,,-2.458125E-08,0.000267782394075766,
,,,-2.398125E-08,0.000401673591113649,
,,,-2.338125E-08,0.000535564788151532,
,,,-2.278125E-08,0.000401673591113649,
,,,-2.218125E-08,0.000401673591113649,
