Address:,TCPIP0::192.168.1.2::inst0::INSTR,,Analog Channels,,
Model:,MSO-X 4154A,,Time (s),1 (VOLT),
,,,-1.63E-07,0.00879979552701116,
,,,-1.62E-07,0.00846506759990007,
,,,-1.61E-07,0.00846506759990007,
,,,-1.6E-07,0.00879979552701116,
,,,-1.59E-07,0.00913452345412225,
,,,-1.58E-07,0.00846506759990007,
,,,-1.57E-07,0.00846506759990007,
,,,-1.56E-07,0.00846506759990007,
,,,-1.55E-07,0.00846506759990007,
,,,-1.54E-07,0.00846506759990007,
,,,-1.53E-07,0.00846506759990007,
,,,-1.52E-07,0.00879979552701116,
,,,-1.51E-07,0.00879979552701116,
,,,-1.5E-07,0.00879979552701116,
,,,-1.49E-07,0.00813033967278898,
,,,-1.48E-07,0.00879979552701116,
,,,-1.47E-07,0.00879979552701116,
,,,-1.46E-07,0.00813033967278898,
,,,-1.45E-07,0.00913452345412225,
,,,-1.44E-07,0.00846506759990007,
,,,-1.43E-07,0.00879979552701116,
,,,-1.42E-07,0.00879979552701116,
,,,-1.41E-07,0.00846506759990007,
,,,-1.4E-07,0.00846506759990007,
,,,-1.39E-07,0.00846506759990007,
,,,-1.38E-07,0.00913452345412225,
,,,-1.37E-07,0.00879979552701116,
,,,-1.36E-07,0.00879979552701116,
,,,-1.35E-07,0.00813033967278898,
,,,-1.34E-07,0.00846506759990007,
,,,-1.33E-07,0.00846506759990007,
,,,-1.32E-07,0.00879979552701116,
,,,-1.31E-07,0.00846506759990007,
,,,-1.3E-07,0.00879979552701116,
,,,-1.29E-07,0.00846506759990007,
,,,-1.28E-07,0.00846506759990007,
,,,-1.27E-07,0.00846506759990007,
,,,-1.26E-07,0.00846506759990007,
,,,-1.25E-07,0.00846506759990007,
,,,-1.24E-07,0.00846506759990007,
,,,-1.23E-07,0.00846506759990007,
,,,-1.22E-07,0.00813033967278898,
,,,-1.21E-07,0.00846506759990007,
,,,-1.2E-07,0.00879979552701116,
,,,-1.19E-07,0.00779561174567789,
,,,-1.18E-07,0.00813033967278898,
,,,-1.17E-07,0.00813033967278898,
,,,-1.16E-07,0.00813033967278898,
,,,-1.15E-07,0.00813033967278898,
,,,-1.14E-07,0.00846506759990007,
,,,-1.13E-07,0.00813033967278898,
,,,-1.12E-07,0.00813033967278898,
,,,-1.11E-07,0.00846506759990007,
,,,-1.1E-07,0.00813033967278898,
,,,-1.09E-07,0.0074608838185668,
,,,-1.08E-07,0.00813033967278898,
,,,-1.07E-07,0.00813033967278898,
,,,-1.06E-07,0.00813033967278898,
,,,-1.05E-07,0.00813033967278898,
,,,-1.04E-07,0.00846506759990007,
,,,-1.03E-07,0.00813033967278898,
,,,-1.02E-07,0.00779561174567789,
,,,-1.01E-07,0.00779561174567789,
,,,-9.99999999999999E-08,0.00779561174567789,
,,,-9.9E-08,0.00813033967278898,
,,,-9.8E-08,0.00779561174567789,
,,,-9.69999999999999E-08,0.0074608838185668,
,,,-9.6E-08,0.00779561174567789,
,,,-9.49999999999999E-08,0.00779561174567789,
,,,-9.4E-08,0.0074608838185668,
,,,-9.29999999999999E-08,0.00712615589145571,
,,,-9.2E-08,0.00779561174567789,
,,,-9.1E-08,0.00712615589145571,
,,,-8.99999999999999E-08,0.0074608838185668,
,,,-8.9E-08,0.00779561174567789,
,,,-8.79999999999999E-08,0.00712615589145571,
,,,-8.7E-08,0.0074608838185668,
,,,-8.6E-08,0.0074608838185668,
,,,-8.49999999999999E-08,0.0074608838185668,
,,,-8.4E-08,0.0074608838185668,
,,,-8.29999999999999E-08,0.0074608838185668,
,,,-8.2E-08,0.00712615589145571,
,,,-8.09999999999999E-08,0.0074608838185668,
,,,-8E-08,0.0074608838185668,
,,,-7.9E-08,0.00779561174567789,
,,,-7.79999999999999E-08,0.00712615589145571,
,,,-7.7E-08,0.00679142796434462,
,,,-7.59999999999999E-08,0.00679142796434462,
,,,-7.5E-08,0.00679142796434462,
,,,-7.39999999999999E-08,0.00712615589145571,
,,,-7.29999999999999E-08,0.00712615589145571,
,,,-7.2E-08,0.00712615589145571,
,,,-7.09999999999999E-08,0.0074608838185668,
,,,-7E-08,0.00712615589145571,
,,,-6.89999999999999E-08,0.0074608838185668,
,,,-6.8E-08,0.00645670003723353,
,,,-6.7E-08,0.00712615589145571,
,,,-6.59999999999999E-08,0.00679142796434462,
,,,-6.5E-08,0.00679142796434462,
,,,-6.39999999999999E-08,0.00679142796434462,
,,,-6.3E-08,0.00712615589145571,
,,,-6.19999999999999E-08,0.00712615589145571,
,,,-6.09999999999999E-08,0.00645670003723353,
,,,-6E-08,0.00679142796434462,
,,,-5.89999999999999E-08,0.00645670003723353,
,,,-5.8E-08,0.00645670003723353,
,,,-5.69999999999999E-08,0.00679142796434462,
,,,-5.6E-08,0.00679142796434462,
,,,-5.5E-08,0.00679142796434462,
,,,-5.39999999999999E-08,0.00645670003723353,
,,,-5.3E-08,0.00679142796434462,
,,,-5.19999999999999E-08,0.00679142796434462,
,,,-5.1E-08,0.00645670003723353,
,,,-4.99999999999999E-08,0.00679142796434462,
,,,-4.9E-08,0.00645670003723353,
,,,-4.8E-08,0.00645670003723353,
,,,-4.69999999999999E-08,0.00645670003723353,
,,,-4.6E-08,0.00645670003723353,
,,,-4.49999999999999E-08,0.00645670003723353,
,,,-4.4E-08,0.00578724418301135,
,,,-4.29999999999999E-08,0.00645670003723353,
,,,-4.19999999999999E-08,0.00645670003723353,
,,,-4.1E-08,0.00578724418301135,
,,,-3.99999999999999E-08,0.00612197211012244,
,,,-3.9E-08,0.00578724418301135,
,,,-3.79999999999999E-08,0.00645670003723353,
,,,-3.7E-08,0.00578724418301135,
,,,-3.6E-08,0.00612197211012244,
,,,-3.49999999999999E-08,0.00612197211012244,
,,,-3.4E-08,0.00645670003723353,
,,,-3.29999999999999E-08,0.00578724418301135,
,,,-3.2E-08,0.00645670003723353,
,,,-3.09999999999999E-08,0.00612197211012244,
,,,-2.99999999999999E-08,0.00612197211012244,
,,,-2.9E-08,0.00612197211012244,
,,,-2.79999999999999E-08,0.00645670003723353,
,,,-2.7E-08,0.00679142796434462,
,,,-2.59999999999999E-08,0.00612197211012244,
,,,-2.5E-08,0.00679142796434462,
,,,-2.4E-08,0.00679142796434462,
,,,-2.29999999999999E-08,0.00679142796434462,
,,,-2.2E-08,0.00679142796434462,
,,,-2.1E-08,0.00712615589145571,
,,,-1.99999999999999E-08,0.00712615589145571,
,,,-1.89999999999999E-08,0.0074608838185668,
,,,-1.8E-08,0.0074608838185668,
,,,-1.69999999999999E-08,0.00779561174567789,
,,,-1.59999999999999E-08,0.00813033967278898,
,,,-1.5E-08,0.00813033967278898,
,,,-1.4E-08,0.00813033967278898,
,,,-1.29999999999999E-08,0.00813033967278898,
,,,-1.19999999999999E-08,0.00813033967278898,
,,,-1.1E-08,0.00813033967278898,
,,,-9.9999999999999E-09,0.00846506759990007,
,,,-8.99999999999994E-09,0.00813033967278898,
,,,-7.99999999999997E-09,0.00846506759990007,
,,,-7E-09,0.00813033967278898,
,,,-5.99999999999992E-09,0.00813033967278898,
,,,-4.99999999999995E-09,0.00846506759990007,
,,,-3.99999999999998E-09,0.00879979552701116,
,,,-2.99999999999991E-09,0.00879979552701116,
,,,-1.99999999999994E-09,0.00913452345412225,
,,,-9.99999999999969E-10,0.00879979552701116,
,,,1.05879118406788E-22,0.00946925138123333,
,,,1.00000000000008E-09,0.00913452345412225,
,,,2.00000000000004E-09,0.00879979552701116,
,,,3.00000000000001E-09,0.00913452345412225,
,,,4.00000000000009E-09,0.00946925138123333,
,,,5.00000000000006E-09,0.00913452345412225,
,,,6.00000000000003E-09,0.00913452345412225,
,,,7.0000000000001E-09,0.00980397930834442,
,,,8.00000000000007E-09,0.00913452345412225,
,,,9.00000000000004E-09,0.00946925138123333,
,,,1E-08,0.00980397930834442,
,,,1.10000000000001E-08,0.00980397930834442,
,,,1.20000000000001E-08,0.0101387072354555,
,,,1.3E-08,0.00946925138123333,
,,,1.40000000000001E-08,0.00946925138123333,
,,,1.50000000000001E-08,0.00980397930834442,
,,,1.6E-08,0.0101387072354555,
,,,1.7E-08,0.0101387072354555,
,,,1.80000000000001E-08,0.00980397930834442,
,,,1.90000000000001E-08,0.00980397930834442,
,,,2E-08,0.00980397930834442,
,,,2.10000000000001E-08,0.00980397930834442,
,,,2.20000000000001E-08,0.0101387072354555,
,,,2.3E-08,0.00980397930834442,
,,,2.4E-08,0.0104734351625666,
,,,2.50000000000001E-08,0.0101387072354555,
,,,2.6E-08,0.0101387072354555,
,,,2.7E-08,0.00980397930834442,
,,,2.80000000000001E-08,0.0101387072354555,
,,,2.90000000000001E-08,0.00980397930834442,
,,,3E-08,0.0104734351625666,
,,,3.10000000000001E-08,0.00980397930834442,
,,,3.20000000000001E-08,0.00980397930834442,
,,,3.3E-08,0.0104734351625666,
,,,3.4E-08,0.0104734351625666,
,,,3.50000000000001E-08,0.0101387072354555,
,,,3.60000000000001E-08,0.00980397930834442,
,,,3.7E-08,0.00980397930834442,
,,,3.80000000000001E-08,0.00980397930834442,
,,,3.90000000000001E-08,0.0101387072354555,
,,,4E-08,0.0101387072354555,
,,,4.1E-08,0.0101387072354555,
,,,4.20000000000001E-08,0.00980397930834442,
,,,4.30000000000001E-08,0.0101387072354555,
,,,4.4E-08,0.0101387072354555,
,,,4.50000000000001E-08,0.0101387072354555,
,,,4.60000000000001E-08,0.00946925138123333,
,,,4.7E-08,0.0101387072354555,
,,,4.8E-08,0.00946925138123333,
,,,4.90000000000001E-08,0.0104734351625666,
,,,5.00000000000001E-08,0.0101387072354555,
,,,5.1E-08,0.00946925138123333,
,,,5.20000000000001E-08,0.00946925138123333,
,,,5.30000000000001E-08,0.00980397930834442,
,,,5.4E-08,0.00980397930834442,
,,,5.50000000000001E-08,0.00980397930834442,
,,,5.60000000000001E-08,0.00980397930834442,
,,,5.7E-08,0.00980397930834442,
,,,5.8E-08,0.00980397930834442,
,,,5.90000000000001E-08,0.00980397930834442,
,,,6.00000000000001E-08,0.00980397930834442,
,,,6.1E-08,0.00946925138123333,
,,,6.20000000000001E-08,0.00980397930834442,
,,,6.30000000000001E-08,0.00879979552701116,
,,,6.4E-08,0.00946925138123333,
,,,6.5E-08,0.00946925138123333,
,,,6.60000000000001E-08,0.00879979552701116,
,,,6.70000000000001E-08,0.00913452345412225,
,,,6.8E-08,0.00879979552701116,
,,,6.90000000000001E-08,0.00913452345412225,
,,,7.00000000000001E-08,0.00846506759990007,
,,,7.1E-08,0.00879979552701116,
,,,7.2E-08,0.00879979552701116,
,,,7.30000000000001E-08,0.00879979552701116,
